Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);BUREAU:Zone Operative Temperature [C](Hourly);BUREAU IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly);BUREAU:Zone Heat Index [C](Hourly) 
 01/12  04:00:00;20.541666666666668;23.04484685425959;0.0;0.0 
 01/12  05:00:00;20.441666666666666;22.861284877541767;0.0;0.0 
 01/12  06:00:00;20.05;22.544098037739587;0.0;0.0 
 01/12  07:00:00;19.333333333333332;24.28064739630757;0.0;0.0 
 01/12  08:00:00;19.0;24.71734020863434;0.0;0.0 
 01/12  09:00:00;19.116666666666667;24.909620695905428;0.0;0.0 
 01/12  10:00:00;22.0;25.503187380496982;0.0;0.0 
 01/12  11:00:00;25.75;26.227351531288566;297874.0193715498;0.0 
 01/12  12:00:00;27.349999999999998;26.630399916821574;941593.455646819;0.0 
 01/12  13:00:00;28.358333333333334;27.03122779402678;1733577.4298904082;0.0 
 01/12  14:00:00;29.65833333333333;27.426961575251283;2616296.9593442352;0.0 
 01/12  15:00:00;30.958333333333332;27.772776395159323;3435336.433045038;0.0 
 01/12  16:00:00;31.208333333333332;28.000072144828337;3977411.803432588;0.0 
 01/12  17:00:00;31.0;28.055082245352818;4085069.7962012123;0.0 
 01/12  18:00:00;30.3;27.96923139718312;3818187.9623959307;0.0 
 01/12  19:00:00;28.75;27.81099819124488;3355397.0935350168;0.0 
 01/12  20:00:00;27.358333333333334;27.646100623649843;2872360.8772637662;0.0 
 01/12  21:00:00;26.258333333333336;27.503402759025033;2446348.237852678;0.0 
 01/12  22:00:00;25.333333333333332;27.372098554504657;2082988.608248182;0.0 
 01/12  23:00:00;25.0;26.822672256479464;0.0;0.0 
 01/12  24:00:00;24.416666666666668;26.395626794313063;0.0;0.0 
 01/13  01:00:00;23.708333333333332;25.883754471865092;0.0;0.0 
 01/13  02:00:00;23.26666666666667;25.50723563723322;0.0;0.0 
 01/13  03:00:00;22.808333333333337;25.129602154182667;0.0;0.0 
 01/13  04:00:00;22.25;24.702816533712607;0.0;0.0 
 01/13  05:00:00;22.583333333333332;24.723567743997574;0.0;0.0 
 01/13  06:00:00;22.241666666666664;24.465541637833372;0.0;0.0 
 01/13  07:00:00;21.291666666666668;25.87846139806875;26976.729048240308;0.0 
 01/13  08:00:00;21.0;26.2312681996854;54427.51145026123;0.0 
 01/13  09:00:00;21.0;26.305233938391808;129224.71582156688;0.0 
 01/13  10:00:00;22.166666666666668;26.48065436738715;378808.1687640999;0.0 
 01/13  11:00:00;25.333333333333332;26.790358794679673;797270.9194243938;0.0 
 01/13  12:00:00;28.166666666666668;27.169926023013016;1462164.8848918895;0.0 
 01/13  13:00:00;29.583333333333332;27.554388684137802;2302051.661249113;0.0 
 01/13  14:00:00;30.525000000000002;27.925860116235153;3225754.379398511;0.0 
 01/13  15:00:00;31.48333333333333;28.259446175557517;4106427.792705045;0.0 
 01/13  16:00:00;31.958333333333332;28.500183271828593;4754385.925764053;0.0 
 01/13  17:00:00;30.833333333333332;28.542249732844173;4893357.266574777;0.0 
 01/13  18:00:00;29.474999999999998;28.415879897402714;4554776.06183649;0.0 
 01/13  19:00:00;28.458333333333332;28.225819772594466;4013049.3889345303;0.0 
 01/13  20:00:00;26.891666666666666;28.03815307863016;3477212.225624255;0.0 
 01/13  21:00:00;25.05;27.875821762337356;3018214.090491201;0.0 
 01/13  22:00:00;22.958333333333332;27.713677443110527;2615231.883519981;0.0 
 01/13  23:00:00;22.0;25.623358419889808;0.0;0.0 
 01/13  24:00:00;22.46666666666667;25.57869673703267;0.0;0.0 
 01/14  01:00:00;22.21666666666667;25.2883212123884;0.0;0.0 
 01/14  02:00:00;21.216666666666665;24.584089451338418;0.0;0.0 
 01/14  03:00:00;20.216666666666665;23.854083042127403;0.0;0.0 
 01/14  04:00:00;19.566666666666666;23.285407690643876;0.0;0.0 
 01/14  05:00:00;19.166666666666668;22.86275192691434;0.0;0.0 
 01/14  06:00:00;19.0;22.572809629760062;0.0;0.0 
 01/14  07:00:00;18.416666666666668;25.12241186955228;0.0;0.0 
 01/14  08:00:00;17.416666666666668;25.654449379346996;0.0;0.0 
